movie.num,custom.num,ratio,custom.year
4513,153383,4,2004-04-06
4513,243437,5,2005-01-25
4513,1075579,2,2005-04-21
4513,1310455,5,2005-03-25
4513,2026560,5,2004-06-29
4513,971700,5,2004-05-07
4513,2044715,4,2004-04-22
4513,1873583,3,2004-04-07
4513,1459656,2,2005-03-31
4513,507921,3,2004-05-01
4513,963962,4,2004-06-18
4513,2558064,3,2005-06-08
4513,1562478,3,2005-06-16
4513,786312,3,2004-11-16
4513,1386208,5,2005-12-06
4513,2048576,2,2005-08-09
4513,1376843,3,2004-04-21
4513,1013887,4,2005-08-23
4513,687857,2,2004-03-27
4513,1757206,2,2004-05-12
4513,493082,4,2004-09-03
4513,1691502,4,2005-04-28
4513,2363076,4,2005-02-17
4513,2491948,3,2004-11-15
4513,1709921,5,2005-07-19
4513,846661,5,2004-04-15
4513,284143,4,2005-07-06
4513,2156136,4,2004-04-29
4513,1153996,5,2004-09-10
4513,685717,4,2004-04-07
4513,206116,3,2005-12-05
4513,2439493,2,2004-03-18
4513,1989750,4,2004-11-02
4513,1113980,5,2005-05-04
4513,2185614,4,2004-05-02
4513,2458526,3,2004-03-15
4513,2170606,4,2004-10-26
4513,1334536,4,2005-03-16
4513,1672877,4,2005-09-02
4513,2539942,4,2005-03-01
4513,1931853,4,2005-07-25
4513,67465,4,2004-05-26
4513,407037,3,2004-11-29
4513,1777406,1,2004-12-11
4513,681913,3,2005-04-12
4513,769702,1,2005-02-26
4513,2363005,5,2005-04-07
4513,1374216,1,2005-10-04
4513,1105029,3,2005-03-28
4513,424726,4,2004-04-26
4513,1126958,3,2005-02-07
4513,2550506,3,2004-11-15
4513,1235847,5,2005-08-29
4513,1156625,3,2004-08-11
4513,1859273,4,2004-10-15
4513,507603,1,2005-11-20
4513,985268,4,2005-02-23
4513,1303244,2,2005-08-14
4513,2055575,3,2005-01-28
4513,1226449,3,2005-06-02
4513,967539,2,2005-10-10
4513,687007,3,2005-10-04
4513,1473033,5,2005-12-04
4513,19641,4,2004-10-09
4513,622163,5,2005-02-23
4513,642706,5,2004-06-02
4513,329958,1,2004-07-08
4513,1029388,5,2004-04-16
4513,762232,5,2005-04-21
4513,192381,5,2004-10-26
4513,2318070,4,2005-04-23
4513,2631565,3,2004-08-02
4513,122197,1,2005-03-09
4513,1664306,4,2005-01-20
4513,949185,4,2005-05-17
4513,1086936,4,2005-09-20
4513,994791,5,2004-06-05
4513,46920,5,2004-10-15
4513,663435,4,2004-12-16
4513,1517807,3,2005-02-03
4513,2291306,2,2004-03-16
4513,1725162,3,2005-03-19
4513,81193,3,2004-05-03
4513,235629,5,2004-10-20
4513,260257,3,2005-02-26
4513,1051210,2,2005-04-22
4513,1450171,5,2005-06-12
4513,1865249,3,2004-12-14
4513,623797,3,2004-10-25
4513,1231504,4,2005-01-19
4513,233207,4,2004-05-06
4513,2086129,4,2004-09-02
4513,1148529,3,2004-05-02
4513,1285231,3,2005-08-15
4513,1053526,3,2004-03-30
4513,998157,4,2005-04-25
4513,2632060,4,2004-08-13
4513,1582952,2,2004-07-23
4513,1711651,3,2005-11-02
4513,497170,3,2004-05-13
4513,836557,5,2005-07-14
4513,2182816,4,2004-08-25
4513,1609658,3,2004-07-08
4513,1196854,1,2005-01-11
4513,1158913,2,2005-12-19
4513,2173152,5,2004-07-06
4513,83521,3,2004-06-09
4513,218166,4,2004-10-25
4513,384609,5,2005-08-08
4513,1568094,4,2005-04-01
4513,305344,5,2004-03-11
4513,1770871,4,2005-10-05
4513,1505280,5,2004-06-04
4513,1403217,2,2005-09-06
4513,1358714,3,2004-11-15
4513,1114884,4,2005-03-04
4513,1478518,5,2005-05-12
4513,1610896,5,2005-02-01
4513,2338857,5,2004-05-05
4513,921487,4,2004-10-06
4513,57924,4,2004-07-15
4513,195247,3,2004-09-15
4513,1796748,3,2005-08-26
4513,1956127,2,2005-06-07
4513,49142,3,2004-07-19
4513,1040848,5,2004-06-08
4513,1058420,4,2004-12-29
4513,608501,3,2004-04-05
4513,638203,3,2004-07-07
4513,383092,3,2004-08-13
4513,1849620,4,2005-01-23
4513,2573544,2,2005-03-22
4513,402266,5,2004-10-16
4513,870371,2,2005-07-11
4513,940179,3,2004-03-24
4513,1786752,4,2005-05-25
4513,1639302,5,2004-09-03
4513,967507,4,2004-03-20
4513,1159415,4,2004-03-15
4513,2056022,2,2005-08-16
4513,1637103,4,2005-12-06
4513,1084316,3,2004-12-24
4513,2176465,2,2005-02-27
4513,539701,4,2004-05-05
4513,296232,1,2004-08-05
4513,1361437,3,2004-07-18
